title,make,model,year,condition,transmission,price
Toyota Sienna 2016 Black,Toyota,Sienna,2016,local used,automatic,"₦ 13,800,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl CVT) 2015 Green,Toyota,Corolla LE,2015,foreign used,automatic,"₦ 15,500,000"
Toyota RAV4 3.5 Sport 4x4 2010 Gray,Toyota,RAV4 3,2010,foreign used,automatic,"₦ 14,500,000"
Acura MDX 2023 Gold,Acura,MDX,2023,foreign used,automatic,"₦ 85,000,000"
Toyota 4-Runner 2016 Black,Toyota,4-Runner,2016,foreign used,automatic,"₦ 45,000,000"
Mercedes-Benz E350 Base 4Matic Sedan AWD (3.5L 6cyl 7A) 2011 Silver,Mercedes-Benz,E350 Base,2011,foreign used,automatic,"₦ 14,000,000"
Toyota RAV4 Limited 4dr SUV AWD (2.5L 4cyl 6A) 2015 Silver,Toyota,RAV4 Limited,2015,foreign used,automatic,"₦ 20,500,000"
Nissan Pathfinder Silver 4x4 2011 Silver,Nissan,Pathfinder Silver,2011,foreign used,automatic,"₦ 14,500,000"
Lexus NX 200t FWD 2015 Silver,Lexus,NX 200t,2015,foreign used,automatic,"₦ 43,000,000"
Lexus RX 350 FWD 2014 Gray,Lexus,RX 350,2014,foreign used,automatic,"₦ 28,500,000"
Mercedes-Benz C300 Luxury 4Matic Sedan AWD (3.0L 6cyl 7A) 2012 White,Mercedes-Benz,C300 Luxury,2012,foreign used,automatic,"₦ 13,500,000"
Toyota Tacoma 2015 Black,Toyota,Tacoma,2015,foreign used,automatic,"₦ 26,500,000"
Lexus ES 350 2011 Silver,Lexus,ES 350,2011,foreign used,automatic,"₦ 15,500,000"
Lexus ES 2010 Black,Lexus,ES,2010,foreign used,automatic,"₦ 14,800,000"
Lexus LX 570 AWD 2014 Black,Lexus,LX 570,2014,foreign used,automatic,"₦ 64,000,000"
Toyota Highlander Limited 3.5l 4WD 2013 Gray,Toyota,Highlander Limited,2013,foreign used,automatic,"₦ 20,500,000"
Toyota Corolla 2005 Gray,Toyota,Corolla,2005,local used,automatic,"₦ 5,200,000"
Toyota Sienna 2004 Blue,Toyota,Sienna,2004,local used,automatic,"₦ 5,800,000"
Mercedes-Benz GLA 250 2015 Gray,Mercedes-Benz,GLA 250,2015,foreign used,automatic,"₦ 20,000,000"
